block,grade,subject,q_no,pct_chose_wrong,wrong_option,correct_option,question,why_it_matters
Anugola,Grade 5,EVS,12,55,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
Anugola,Grade 8,Science,5,43,D,A,ଜଣେ ଛାତ୍ର ଏକ ପରୀକ୍ଷଣ ବ୍ୟବହାର କରି ଯାଞ୍ଚ କରିବାକୁ ଚାହାଁନ୍ତି ଯେ ଏକ ସବୁଜ ପତ୍ର କ୍ଲୋରୋଫିଲ୍ ସାହାଯ୍ୟରେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରିଛି କି ନାହିଁ । କେଉଁଟି ସୋପାନଗୁଡ଼ିକର ସଠିକ୍ କ୍ରମ ଅଟେ?,"Children picked 'keep it in sunlight', confusing the plant's need for light with the starch-test procedure, which begins by boiling the leaf."
Anugola,Grade 8,Odia,12,46,A,C,ଜଙ୍ଗଲ କ୍ଷୟ ର ମୂଖ୍ୟ କାରଣ କଣ ହୋଇଛି?,Deforestation was blamed on factories and industry. The main cause is clearing forest to expand farmland.
Anugola,Grade 8,Science,14,43,A,B,ନିମ୍ନରେ ଥିବା ଦୂରତା-ସମୟ ଗ୍ରାଫ୍ ଜଣେ ସାଇକେଲ ଚାଳକଙ୍କ ଗତିକୁ ଦର୍ଶାଏ । 4 ରୁ 6 ସେକେଣ୍ଡ ମଧ୍ୟରେ ସମତଳ ଭୂସମାନ୍ତର ରେଖା କ'ଣ ପ୍ରତିନିଧିତ୍ୱ କରେ?,A flat line on a distance-time graph was read as 'moving at a steady speed'. A flat line there means the cyclist has stopped.
Anugola,Grade 8,Odia,8,43,B,A,“କଲମର କାହାଣୀ” ଅନୁଛେଦ ଦ୍ୱାରା ମାନବ ପ୍ରଗତି ବିଷୟରେ କେଉଁ ବିଶାଳ ଧାରଣାକୁ ଉଦ୍ଧାର କରାଯାଇଛି?,"Children picked an absolute statement (new technology fully replaces the old) over the passage's nuanced idea that steady, ongoing innovation keeps improving life."
Anugola,Grade 8,SST,4,39,A,C,ପାହାଡିଆ ଅଞ୍ଚଳରେ ବାନାଗ୍ନି ସାଧାରଣ କାରଣ କେଉଁଟି ?,"Forest fires were blamed on lightning. The common cause in hilly areas is an unextinguished campfire, that is, human carelessness."
Anugola,Grade 8,Odia,14,42,C,B,"ଲେଖା ଆଧାରରେ, ସବୁଠାରୁ ଯୁକ୍ତିସଙ୍ଗତ ମତ କେଉଁଟି?","Children chose a general fairness statement over the inference the passage supports, that protected forest area stays too low even as forest cover rises."
Anugola,Grade 8,English,12,34,B,C,Which home action best mirrors banning old polluting vehicles?,"Children chose a generally 'green' action rather than the true parallel to scrapping old polluting vehicles, which is replacing old devices with energy-saving ones."
Anugola,Grade 8,English,6,43,A,B,Where does a sea turtle begin its life?,Children think a sea turtle's life begins in the ocean; it actually hatches on the beach. A read-from-text slip.
Athamalik,Grade 5,EVS,12,53,A,B,"On a cold night, Reena wrapped one plant in a plastic sheet and left another open. In the morning she saw water droplets only on the plastic sheet. Which process best explains this?","Children chose evaporation. The droplets form by condensation, water vapour turning to liquid on the cool sheet."
